case:concept:name,concept:name,time:timestamp,cost,org:resource
1,Activity 35,2023-01-02 02:28:00,258,John
1,Activity 25,2023-01-02 03:55:00,95,John
1,Activity 21,2023-01-02 04:07:00,59,Anna
1,Activity 44,2023-01-02 05:25:00,258,John
1,Activity 33,2023-01-02 07:16:00,156,Susan
1,Activity 2,2023-01-02 08:57:00,289,Susan
1,Activity 16,2023-01-02 10:25:00,185,Anna
1,Activity 47,2023-01-02 11:59:00,69,John
1,Activity 46,2023-01-02 13:23:00,107,Anna
1,Activity 26,2023-01-02 15:13:00,185,Peter
2,Activity 17,2023-01-02 02:57:00,156,Susan
2,Activity 24,2023-01-02 04:13:00,124,Laura
2,Activity 23,2023-01-02 06:08:00,169,John
2,Activity 28,2023-01-02 07:43:00,59,Mike
2,Activity 4,2023-01-02 09:16:00,163,Tom
3,Activity 33,2023-01-01 17:37:00,126,Anna
3,Activity 45,2023-01-01 17:48:00,152,Peter
3,Activity 15,2023-01-01 18:48:00,50,Anna
3,Activity 38,2023-01-01 20:05:00,189,Lisa
3,Activity 20,2023-01-01 21:12:00,107,Mike
3,Activity 28,2023-01-01 22:17:00,188,Lisa
3,Activity 34,2023-01-01 23:57:00,125,Anna
3,Activity 19,2023-01-02 00:45:00,199,John
3,Activity 4,2023-01-02 02:10:00,158,Tom
3,Activity 27,2023-01-02 04:08:00,225,Tom
4,Activity 26,2023-01-03 06:46:00,101,Mike
4,Activity 44,2023-01-03 07:06:00,267,Anna
4,Activity 50,2023-01-03 08:31:00,118,Mike
4,Activity 50,2023-01-03 09:06:00,98,Laura
4,Activity 14,2023-01-03 10:39:00,250,Laura
5,Activity 41,2023-01-03 00:24:00,276,Anna
5,Activity 46,2023-01-03 00:31:00,180,Anna
5,Activity 13,2023-01-03 01:30:00,215,John
5,Activity 44,2023-01-03 02:02:00,52,Laura
5,Activity 44,2023-01-03 03:20:00,155,Anna
5,Activity 45,2023-01-03 04:08:00,60,Mike
5,Activity 8,2023-01-03 06:08:00,92,Laura
5,Activity 38,2023-01-03 06:45:00,300,Peter
5,Activity 33,2023-01-03 07:36:00,187,John
6,Activity 39,2023-01-03 04:17:00,127,Mike
6,Activity 33,2023-01-03 04:30:00,178,Lisa
6,Activity 34,2023-01-03 05:10:00,209,Mike
6,Activity 35,2023-01-03 06:25:00,93,Tom
6,Activity 50,2023-01-03 07:50:00,199,Tom
6,Activity 39,2023-01-03 09:25:00,112,Susan
6,Activity 34,2023-01-03 10:38:00,184,Peter
6,Activity 29,2023-01-03 11:09:00,163,Lisa
6,Activity 9,2023-01-03 12:25:00,148,Tom
7,Activity 46,2023-01-02 08:23:00,200,Lisa
7,Activity 22,2023-01-02 08:32:00,143,Susan
7,Activity 31,2023-01-02 09:23:00,110,Susan
7,Activity 32,2023-01-02 09:51:00,198,Laura
7,Activity 8,2023-01-02 10:08:00,298,Anna
8,Activity 18,2023-01-01 12:46:00,154,Anna
8,Activity 2,2023-01-01 14:11:00,290,John
8,Activity 5,2023-01-01 15:02:00,99,Laura
8,Activity 31,2023-01-01 16:04:00,76,Anna
8,Activity 45,2023-01-01 17:11:00,206,Tom
8,Activity 40,2023-01-01 17:44:00,214,Peter
8,Activity 22,2023-01-01 18:46:00,267,Peter
8,Activity 22,2023-01-01 19:07:00,172,Tom
8,Activity 38,2023-01-01 19:42:00,278,Susan
8,Activity 27,2023-01-01 20:48:00,189,Lisa
9,Activity 26,2023-01-03 06:46:00,217,Anna
9,Activity 36,2023-01-03 08:06:00,59,Peter
9,Activity 3,2023-01-03 09:32:00,165,Susan
9,Activity 49,2023-01-03 09:58:00,52,Susan
9,Activity 21,2023-01-03 11:34:00,289,Laura
9,Activity 40,2023-01-03 12:33:00,261,Lisa
